NamePoke,OwnedBy,Favorited,PointValue,Score,Diff,Kills,Death,Wins,GamesPlayed
Shieldon,,,0,,,,,,
Bastiodon,,,0,,,,,,
Burmy,,,0,,,,,,
Wormadam-Plant,,,1,,,,,,
Mothim,,,0,,,,,,
Combee,,,0,,,,,,
Vespiquen,,,1,,,,,,
Pachirisu,,,5,,,,,,
Buizel,,,0,,,,,,
Floatzel,,,12,,,,,,
Cherubi,,,0,,,,,,
Cherrim,,,2,,,,,,
Shellos,,,0,,,,,,
Gastrodon,,,12,,,,,,
Ambipom,,,9,,,,,,
Drifloon,,,0,,,,,,
Drifblim,,,8,,,,,,
Buneary,,,0,,,,,,
Lopunny,,,4,,,,,,
Mismagius,,,3,,,,,,
Honchkrow,,,2,,,,,,
Glameow,,,0,,,,,,
Purugly,,,2,,,,,,
Chingling,,,0,,,,,,
stunky,,,0,,,,,,
Skuntank,,,2,,,,,,
Bronzor,,,0,,,,,,
Bronzong,,,14,,,,,,
Bonsly,,,0,,,,,,
Mime Jr.,,,0,,,,,,
Happiny,,,0,,,,,,
Chatot,,,4,,,,,,
Spiritomb,,,2,,,,,,
Gible,,,0,,,,,,
Gabite,,,0,,,,,,
Garchomp,,,14,,,,,,
Munchlax,,,0,,,,,,
Riolu,,,3,,,,,,
Lucario,,,6,,,,,,
Hippopotas,,,2,,,,,,
Hippowdon,,,11,,,,,,
skorupi,,,0,,,,,,
Drapion,,,2,,,,,,
Croagunk,,,0,,,,,,
toxicroak,,,6,,,,,,
Carnivine,,,0,,,,,,
Finneon,,,0,,,,,,
Lumineon,,,3,,,,,,
Mantyke,,,0,,,,,,
snover,,,0,,,,,,
Abomasnow,,,10,,,,,,
Weavile,,,11,,,,,,
Magnezone,,,7,,,,,,
Lickilicky,,,3,,,,,,
Rhyperior,,,7,,,,,,
Tangrowth,,,8,,,,,,
Electivire,,,4,,,,,,
Magmortar,,,9,,,,,,
Togekiss,,,14,,,,,,
Yanmega,,,3,,,,,,
Leafeon,,,3,,,,,,
Glaceon,,,4,,,,,,
Gliscor,,,7,,,,,,
Mamoswine,,,11,,,,,,
PorygonZ,,,8,,,,,,
Gallade,,,10,,,,,,
Probopass,,,0,,,,,,
Dusknoir,,,6,,,,,,
Froslass,,,2,,,,,,
Rotom,,,8,,,,,,
Uxie,,,8,,,,,,
Mesprit,,,7,,,,,,
Azelf,,,11,,,,,,
Dialga,,,21,,,,,,
Palkia,,,19,,,,,,
Heatran,,,15,,,,,,
Regigigas,,,4,,,,,,
Giratina,,,16,,,,,,
Cresselia,,,17,,,,,,
Phione,,,9,,,,,,
Manaphy,,,14,,,,,,
Darkrai,,,15,,,,,,
Shaymin,,,10,,,,,,
Arceus,,,21,,,,,,
Victini,,,15,,,,,,
snivy,,,0,,,,,,
Servine,,,0,,,,,,
Serperior,,,9,,,,,,
tepig,,,0,,,,,,
Pignite,,,0,,,,,,
Emboar,,,6,,,,,,
Oshawott,,,0,,,,,,
Dewott,,,0,,,,,,
Samurott,,,2,,,,,,
Patrat,,,0,,,,,,
watchog,,,0,,,,,,
Lillipup,,,0,,,,,,
Herdier,,,0,,,,,,
Stoutland,,,6,,,,,,
Purrloin,,,0,,,,,,
Liepard,,,8,,,,,,
Pansage,,,0,,,,,,
Simisage,,,2,,,,,,
Pansear,,,0,,,,,,
Simisear,,,3,,,,,,
Panpour,,,0,,,,,,
Simipour,,,3,,,,,,
Munna,,,0,,,,,,
Musharna,,,8,,,,,,
Pidove,,,0,,,,,,
tranquill,,,0,,,,,,
Unfezant,,,1,,,,,,
Blitzle,,,0,,,,,,
Zebstrika,,2025,1,,,,,,
Roggenrola,,,0,,,,,,
Boldore,,,0,,,,,,
Gigalith,,,12,,,,,,
woobat,,,0,,,,,,
Swoobat,,,1,,,,,,
Drilbur,,,0,,,,,,
Excadrill,,,15,,,,,,
Audino,,,5,,,,,,
timburr,,,0,,,,,,
Gurdurr,,,4,,,,,,
Conkeldurr,,,11,,,,,,
tympole,,,0,,,,,,
Palpitoad,,,0,,,,,,
seismitoad,,,10,,,,,,
Throh,,,2,,,,,,
Sawk,,,3,,,,,,
Sewaddle,,,0,,,,,,
swadloon,,,0,,,,,,
Leavanny,,,2,,,,,,
venipede,,,0,,,,,,
whirlipede,,,0,,,,,,
Scolipede,,,5,,,,,,
Cottonee,,,5,,,,,,
Whimsicott,,,17,,,,,,
Petilil,,,0,,,,,,
Lilligant,,,7,,,,,,
Basculin,,,3,,,,,,
Sandile,,,0,,,,,,
Krokorok,,,0,,,,,,
Krookodile,,,12,,,,,,
Darumaka,,,0,,,,,,
Darmanitan,,,10,,,,,,
Maractus,,,2,,,,,,
Dwebble,,,0,,,,,,
Crustle,,,2,,,,,,
Scraggy,,,0,,,,,,
Scrafty,,,15,,,,,,
Sigilyph,,,7,,,,,,
yamask,,,0,,,,,,
Cofagrigus,,,8,,,,,,
tirtouga,,,0,,,,,,
Carracosta,,,3,,,,,,
Archen,,,0,,,,,,
Archeops,,,5,,,,,,
trubbish,,,0,,,,,,
Garbodor,,,2,,,,,,
zorua,,,0,,,,,,
Zoroark,,,5,,,,,,
Minccino,,,0,,,,,,
Cinccino,,,6,,,,,,
Gothita,,,0,,,,,,
Gothorita,,,0,,,,,,
Gothitelle,,,8,,,,,,
solosis,,,0,,,,,,
Duosion,,,0,,,,,,
Reuniclus,,,13,,,,,,
Ducklett,,,0,,,,,,
swanna,,,0,,,,,,
vanillite,,,0,,,,,,
vanillish,,,0,,,,,,
Vanilluxe,,,9,,,,,,
Deerling,,,0,,,,,,
Sawsbuck,,,2,,,,,,
Emolga,,,1,,,,,,
Karrablast,,,0,,,,,,
Escavalier,,,10,,,,,,
Foongus,,,3,,,,,,
Amoonguss,,,18,,,,,,
Frillish-male,,,0,,,,,,
Jellicent,,,12,,,,,,
Alomomola,,,6,,,,,,
Joltik,,,0,,,,,,
Galvantula,,,2,,,,,,
Ferroseed,,,0,,,,,,
Ferrothorn,,,10,,,,,,
Klink,,,0,,,,,,
Klang,,,0,,,,,,
Klinklang,,,2,,,,,,
tynamo,,,0,,,,,,
Eelektrik,,,0,,,,,,
Eelektross,,,3,,,,,,
Elgyem,,,0,,,,,,
Beheeyem,,,4,,,,,,
Litwick,,,0,,,,,,
Lampent,,,0,,,,,,
Chandelure,,,10,,,,,,
Axew,,,0,,,,,,
Fraxure,,,0,,,,,,
Haxorus,,,6,,,,,,
Cubchoo,,,0,,,,,,
Beartic,,,3,,,,,,
Cryogonal,,,2,,,,,,
Shelmet,,,0,,,,,,
Accelgor,,,6,,,,,,
Stunfisk,,,1,,,,,,
Mienfoo,,,0,,,,,,
Mienshao,,,12,,,,,,
Druddigon,,,5,,,,,,
Golett,,,0,,,,,,
Golurk,,,5,,,,,,
Pawniard,,,0,,,,,,
Bisharp,,,12,,,,,,
Bouffalant,,,5,,,,,,
Rufflet,,,0,,,,,,
Braviary,,,6,,,,,,
vullaby,,,0,,,,,,
Mandibuzz,,,11,,,,,,
Heatmor,,,1,,,,,,
Durant,,,3,,,,,,
Deino,,,0,,,,,,
zweilous,,,0,,,,,,
Hydreigon,,,13,,,,,,
Larvesta,,,0,,,,,,
Volcarona,,,15,,,,,,
cobalion,,,8,,,,,,
Terrakion,,,14,,,,,,
Virizion,,,7,,,,,,
Tornadus,,,17,,,,,,
Thundurus,,,15,,,,,,
Reshiram,,,21,,,,,,
Zekrom,,,21,,,,,,
Landorus,,,18,,,,,,
Kyurem,,,13,,,,,,
Keldeo,,,14,,,,,,
Meloetta,,,21,,,,,,
Genesect,,,19,,,,,,
Chespin,,,0,,,,,,
Quilladin,,,0,,,,,,
Chesnaught,,,2,,,,,,
Fennekin,,,0,,,,,,
Braixen,,,0,,,,,,
delphox,,,7,,,,,,
Froakie,,,0,,,,,,
Frogadier,,,0,,,,,,
Greninja,,,11,,,,,,
Bunnelby,,,0,,,,,,
Diggersby,,,8,,,,,,
Fletchling,,,0,,,,,,
Fletchinder,,,0,,,,,,
Talonflame,,,8,,,,,,
Scatterbug,,,0,,,,,,
spewpa,,,0,,,,,,
Vivillon,,,4,,,,,,
Litleo,,,0,,,,,,
Pyroar,,,6,,,,,,
flabebe,,,0,,,,,,
Floette,,,0,,,,,,
Florges,,,6,,,,,,
Skiddo,,,0,,,,,,
Gogoat,,,1,,,,,,
Pancham,,,0,,,,,,
Pangoro,,,5,,,,,,
Furfrou,,,1,,,,,,
Espurr,,,0,,,,,,
Meowstic-M,,,9,,,,,,
Honedge,,,0,,,,,,
Doublade,,,2,,,,,,
Aegislash,,,10,,,,,,
spritzee,,,0,,,,,,
Aromatisse,,,10,,,,,,
swirlix,,,0,,,,,,
Slurpuff,,,3,,,,,,
Inkay,,,0,,,,,,
Malamar,,,3,,,,,,
Binacle,,,0,,,,,,
Barbaracle,,,2,,,,,,
skrelp,,,0,,,,,,
Dragalge,,,10,,,,,,
Clauncher,,,0,,,,,,
Clawitzer,,,2,,,,,,
Helioptile,,,0,,,,,,
Heliolisk,,,7,,,,,,
tyrunt,,,0,,,,,,
Tyrantrum,,,5,,,,,,
Amaura,,,1,,,,,,
Aurorus,,,5,,,,,,
Sylveon,,,14,,,,,,
Hawlucha,,,10,,,,,,
Dedenne,,,1,,,,,,
Carbink,,,4,,,,,,
Goomy,,,0,,,,,,
sliggoo,,,0,,,,,,
Goodra,,,6,,,,,,
Klefki,,,11,,,,,,
Phantump,,,0,,,,,,
Trevenant,,,2,,,,,,
pumpkaboo-average,,,0,,,,,,
Gourgeist-Average,,,3,,,,,,
Bergmite,,,0,,,,,,
avalugg,,,2,,,,,,
Noibat,,,0,,,,,,
Noivern,,,7,,,,,,
xerneas,,,21,,,,,,
yveltal,,,21,,,,,,
Zygarde,,,15,,,,,,
Diancie,,,17,,,,,,
Hoopa,,,8,,,,,,
Volcanion,,,16,,,,,,
Rowlet,,,0,,,,,,
Dartrix,,,0,,,,,,
Decidueye,,,6,,,,,,
Litten,,,0,,,,,,
Torracat,,,4,,,,,,
Incineroar,,,20,,,,,,
Popplio,,,0,,,,,,
Brionne,,,0,,,,,,
Primarina,,,14,,,,,,
Pikipek,,,0,,,,,,
trumbeak,,,0,,,,,,
Toucannon,,,1,,,,,,
yungoos,,,0,,,,,,
Gumshoos,,,2,,,,,,
Grubbin,,,0,,,,,,
Charjabug,,,3,,,,,,
Vikavolt,,,8,,,,,,
Crabrawler,,,0,,,,,,
Crabominable,,,3,,,,,,
Oricorio-Baile,,,1,,,,,,
Cutiefly,,,0,,,,,,
Ribombee,,Summer 2023,12,,,,,,
Rockruff,,,0,,,,,,
Lycanroc-Midday,,,3,,,,,,
Wishiwashi,,,3,,,,,,
Mareanie,,,0,,,,,,
Toxapex,,,7,,,,,,
Mudbray,,,0,,,,,,
Mudsdale,,,9,,,,,,
Dewpider,,,0,,,,,,
Araquanid,,,10,,,,,,
Fomantis,,,0,,,,,,
Lurantis,,,9,,,,,,
Morelull,,,0,,,,,,
Shiinotic,,,3,,,,,,
Salandit,,,0,,,,,,
Salazzle,,,7,,,,,,
stufful,,,0,,,,,,
Bewear,,,6,,,,,,
Bounsweet,,,0,,,,,,
steenee,,,0,,,,,,
Tsareena,,,11,,,,,,
Comfey,,,10,,,,,,
Oranguru,,,14,,,,,,
Passimian,,,5,,,,,,
wimpod,,,0,,,,,,
Golisopod,,,2,,,,,,
Sandygast,,,0,,,,,,
Palossand,,,2,,,,,,
Pyukumuku,,,0,,,,,,
Type: Null,,,2,,,,,,
Silvally,,,5,,,,,,
Minior,,,3,,,,,,
Komala,,,1,,,,,,
Turtonator,,,1,,,,,,
Togedemaru,,,10,,,,,,
Mimikyu,,,14,,,,,,
Bruxish,,,6,,,,,,
Drampa,,,7,,,,,,
Dhelmise,,,6,,,,,,
Jangmo-o,,,0,,,,,,
Hakamo-o,,,0,,,,,,
Kommo-o,,,10,,,,,,
Tapu Koko,,,20,,,,,,
Tapu Lele,,,19,,,,,,
Tapu Bulu,,,13,,,,,,
Tapu Fini,,,17,,,,,,
Cosmog,,,0,,,,,,
Cosmoem,,,0,,,,,,
solgaleo,,,21,,,,,,
Lunala,,,21,,,,,,
Nihilego,,,14,,,,,,
Buzzwole,,,9,,,,,,
Pheromosa,,,14,,,,,,
Xurkitree,,,11,,,,,,
Celesteela,,,15,,,,,,
Kartana,,,20,,,,,,
Guzzlord,,,3,,,,,,
Necrozma,,,14,,,,,,
Magearna,,,21,,,,,,
Marshadow,,,16,,,,,,
Poipole,,,0,,,,,,
Naganadel,,,14,,,,,,
Stakataka,,,12,,,,,,
Blacephalon,,,13,,,,,,
Zeraora,,,16,,,,,,
Meltan,,,0,,,,,,
Melmetal,,,21,,,,,,
Grookey,,,0,,,,,,
Thwackey,,,4,,,,,,
Rillaboom,,,19,,,,,,
Scorbunny,,,0,,,,,,
Raboot,,,0,,,,,,
Cinderace,,,12,,,,,,
sobble,,,0,,,,,,
Drizzile,,,0,,,,,,
Inteleon,,,8,,,,,,
skwovet,,,0,,,,,,
Greedent,,,7,,,,,,
Rookidee,,,0,,,,,,
Corvisquire,,,0,,,,,,
Corviknight,,,10,,,,,,
Blipbug,,,0,,,,,,
Dottler,,,0,,,,,,
Orbeetle,,,1,,,,,,
Nickit,,,0,,,,,,
Thievul,,,2,,,,,,
Gossifleur,,,0,,,,,,
Eldegoss,,,1,,,,,,
wooloo,,,0,,,,,,
Dubwool,,,2,,,,,,
Chewtle,,,0,,,,,,
Drednaw,,,8,,,,,,
Yamper,,,0,,,,,,
Boltund,,,2,,,,,,
Rolycoly,,,0,,,,,,
Carkol,,,0,,,,,,
Coalossal,,,1,,,,,,
Applin,,,1,,,,,,
Flapple,,,2,,,,,,
Appletun,,,3,,,,,,
Silicobra,,,0,,,,,,
Sandaconda,,,2,,,,,,
Cramorant,,,0,,,,,,
Arrokuda,,,0,,,,,,
Barraskewda,,,12,,,,,,
toxel,,,0,,,,,,
Toxtricity,,,8,,,,,,
Sizzlipede,,,0,,,,,,
Centiskorch,,,1,,,,,,
Clobbopus,,,0,,,,,,
Grapploct,,,2,,,,,,
Sinistea,,,0,,,,,,
Polteageist,,,2,,,,,,
Hatenna,,,0,,,,,,
Hattrem,,,0,,,,,,
Hatterene,,,14,,,,,,
Impidimp,,,1,,,,,,
Morgrem,,,8,,,,,,
Grimmsnarl,,,19,,,,,,
Obstagoon,,,6,,,,,,
Perrserker,,,6,,,,,,
Cursola,,,3,,,,,,
Sirfetch'd,,,4,,,,,,
Mr. Rime,,,3,,,,,,
Runerigus,,,7,,,,,,
Milcery,,,0,,,,,,
Alcremie,,,7,,,,,,
Falinks,,,2,,,,,,
Pincurchin,,,8,,,,,,
snom,,,0,,,,,,
Frosmoth,,,2,,,,,,
Stonjourner,,,2,,,,,,
Eiscue,,,1,,,,,,
Indeedee-M,,,12,,,,,,
Morpeko,,,1,,,,,,
Cufant,,,0,,,,,,
Copperajah,,,6,,,,,,
Dracozolt,,,15,,,,,,
Arctozolt,,,12,,,,,,
Dracovish,,,17,,,,,,
Arctovish,,,7,,,,,,
Duraludon,,,7,,,,,,
Dreepy,,,0,,,,,,
