id,item,descr,points
146,Houndoominite,"Turns Houndoomin into Mega Houndoomin",4
147,Kangaskhanite,"Turns Kangaskhan into Mega Kangaskhan",4
148,Lopunnite,"Turns Lopunn into Mega Lopunn",10
149,Lucarionite,"Turns Lucarion into Mega Lucarion",2
150,"Lucarionite Z","Turns Lucarion Z into Mega Lucarion Z",20
151,Malamarite,"Turns Malamar into Mega Malamar",20
152,Manectite,"Turns Manect into Mega Manect",3
153,Mawilite,"Turns Mawil into Mega Mawil",13
154,Medichamite,"Turns Medicham into Mega Medicham",4
155,Meganiumite,"Turns Meganium into Mega Meganium",20
156,Meowsticite,"Turns Meowstic into Mega Meowstic",20
157,Metagrossite,"Turns Metagross into Mega Metagross",4
158,Pidgeotite,"Turns Pidgeot into Mega Pidgeot",2
159,Pinsirite,"Turns Pinsir into Mega Pinsir",1
160,Pyroarite,"Turns Pyroar into Mega Pyroar",20
161,"Raichunite X","Turns Raichun X into Mega Raichun X",20
162,"Raichunite Y","Turns Raichun Y into Mega Raichun Y",20
163,Sablenite,"Turns Sablen into Mega Sablen",6
164,Salamencite,"Turns Salamenc into Mega Salamenc",5
165,Sceptilite,"Turns Sceptil into Mega Sceptil",2
166,Scizorite,"Turns Scizor into Mega Scizor",1
167,Scolipite,"Turns Scolip into Mega Scolip",20
168,Scovillainite,"Turns Scovillain into Mega Scovillain",20
169,Scraftinite,"Turns Scraftin into Mega Scraftin",20
170,Sharpedonite,"Turns Sharpedon into Mega Sharpedon",2
171,Skarmorite,"Turns Skarmor into Mega Skarmor",20
172,Slowbronite,"Turns Slowbron into Mega Slowbron",2
173,Staraptite,"Turns Starapt into Mega Starapt",20
174,Starminite,"Turns Starmin into Mega Starmin",20
175,Steelixite,"Turns Steelix into Mega Steelix",5
176,Swampertite,"Turns Swampert into Mega Swampert",9
177,Tatsugirinite,"Turns Tatsugirin into Mega Tatsugirin",20
178,Tyranitarite,"Turns Tyranitar into Mega Tyranitar",9
179,Venusaurite,"Turns Venusaur into Mega Venusaur",3
180,Victreebelite,"Turns Victreebel into Mega Victreebel",20
200,"Belle Suit","Allows Pikachu to turn into Belle Suit Pikachu",1
201,Fan,"Allows Rotom to become Rotom Fan ",0
203,Lawmower,"Allows Rotom to become Rotom Mow ",1
204,"Libre Suit","Allows Pikachu to turn into Pikachu Libre",1
205,Microwave,"Allows Rotom to become Rotom Heat ",1
206,"PH.D Suit","Allows Pikachu to turn into PH.D Pikachu",1
207,"Pop Star Suit","Allows Pikachu to turn into Pop StarPikachu",1
208,Refridgator,"Allows Rotom to become Rotom Fridge ",1
209,"Rock Star Suit","Allows Pikachu to turn into Rock Star Pikachu",1
210,"Washing Machine","Allows Rotom to become Rotom Wash",3
